Temperature (C),Pressure (bar),"Density (l, kg/m3)","Volume (l, m3/kg)","Internal Energy (l, kJ/kg)","Enthalpy (l, kJ/kg)","Entropy (l, J/g*K)","Cv (l, J/g*K)","Cp (l, J/g*K)","Sound Spd. (l, m/s)","Joule-Thomson (l, K/bar)","Viscosity (l, uPa*s)","Therm. Cond. (l, W/m*K)","Surf. Tension (l, N/m)","Density (v, kg/m3)","Volume (v, m3/kg)","Internal Energy (v, kJ/kg)","Enthalpy (v, kJ/kg)","Entropy (v, J/g*K)","Cv (v, J/g*K)","Cp (v, J/g*K)","Sound Spd. (v, m/s)","Joule-Thomson (v, K/bar)","Viscosity (v, uPa*s)","Therm. Cond. (v, W/m*K)"
21.272,52.000,775.14,0.0012901,211.29,217.99,0.89071,0.93436,3.3371,387.62,0.11987,66.582,0.079277,0.0018667,165.01,0.0060603,351.14,382.66,1.4500,0.98785,3.2429,197.12,1.2128,18.137,0.028045
22.119,53.000,768.25,0.0013017,213.55,220.45,0.89858,0.93659,3.4422,379.62,0.12644,65.510,0.078460,0.0017414,169.95,0.0058839,350.28,381.46,1.4439,0.99371,3.3957,196.39,1.2002,18.308,0.028742
22.953,54.000,761.24,0.0013136,215.82,222.91,0.90647,0.93899,3.5584,371.57,0.13342,64.440,0.077667,0.0016195,175.06,0.0057122,349.36,380.21,1.4377,0.99969,3.5648,195.66,1.1875,18.485,0.029485
23.775,55.000,754.09,0.0013261,218.10,225.39,0.91439,0.94158,3.6877,363.49,0.14083,63.369,0.076899,0.0015008,180.35,0.0055447,348.40,378.90,1.4314,1.0058,3.7532,194.93,1.1746,18.668,0.030282
24.585,56.000,746.79,0.0013391,220.39,227.89,0.92236,0.94437,3.8326,355.35,0.14874,62.296,0.076159,0.0013853,185.84,0.0053810,347.38,377.52,1.4249,1.0121,3.9645,194.19,1.1613,18.858,0.031138
25.384,57.000,739.30,0.0013526,222.71,230.42,0.93038,0.94740,3.9961,347.15,0.15720,61.219,0.075450,0.0012731,191.54,0.0052208,346.30,376.06,1.4182,1.0185,4.2030,193.44,1.1477,19.057,0.032063
26.171,58.000,731.61,0.0013668,225.05,232.97,0.93847,0.95069,4.1822,338.87,0.16626,60.136,0.074778,0.0011641,197.49,0.0050636,345.16,374.53,1.4114,1.0251,4.4745,192.69,1.1337,19.264,0.033068
26.947,59.000,723.69,0.0013818,227.41,235.57,0.94667,0.95426,4.3959,330.51,0.17602,59.043,0.074147,0.0010583,203.70,0.0049091,343.95,372.91,1.4043,1.0318,4.7866,191.93,1.1191,19.482,0.034165
27.712,60.000,715.50,0.0013976,229.82,238.21,0.95499,0.95817,4.6443,322.05,0.18656,57.937,0.073568,0.00095566,210.22,0.0047568,342.65,371.19,1.3970,1.0389,5.1490,191.16,1.1041,19.711,0.035371
28.467,61.000,707.00,0.0014144,232.27,240.90,0.96345,0.96246,4.9366,313.47,0.19799,56.815,0.073052,0.00085628,217.09,0.0046064,341.26,369.36,1.3894,1.0461,5.5750,190.39,1.0883,19.954,0.036706
29.211,62.000,698.13,0.0014324,234.77,243.65,0.97211,0.96719,5.2858,304.75,0.21044,55.671,0.072616,0.00076015,224.36,0.0044571,339.77,367.41,1.3814,1.0537,6.0833,189.61,1.0717,20.213,0.038199
29.945,63.000,688.83,0.0014517,237.34,246.49,0.98100,0.97244,5.7107,295.88,0.22410,54.500,0.072285,0.00066734,232.10,0.0043086,338.16,365.31,1.3730,1.0615,6.7003,188.82,1.0542,20.492,0.039885
30.669,64.000,679.00,0.0014728,240.00,249.42,0.99019,0.97830,6.2391,286.82,0.23916,53.294,0.072095,0.00057791,240.39,0.0041600,336.41,363.04,1.3641,1.0698,7.4653,188.02,1.0356,20.793,0.041816
31.382,65.000,668.53,0.0014958,242.76,252.48,0.99976,0.98492,6.9145,277.54,0.25590,52.042,0.072098,0.00049197,249.35,0.0040104,334.49,360.56,1.3547,1.0785,8.4387,187.20,1.0156,21.122,0.044062
32.086,66.000,657.25,0.0015215,245.66,255.70,1.0098,0.99246,7.8085,267.99,0.27468,50.732,0.072376,0.00040967,259.15,0.0038588,332.37,357.83,1.3444,1.0877,9.7195,186.38,0.99391,21.487,0.046732
32.779,67.000,644.93,0.0015506,248.73,259.12,1.0205,1.0012,9.0475,258.11,0.29602,49.343,0.073052,0.00033121,270.02,0.0037035,329.98,354.79,1.3332,1.0975,11.481,185.53,0.97001,21.898,0.049997
33.463,68.000,631.19,0.0015843,252.06,262.83,1.0321,1.0115,10.878,247.81,0.32066,47.844,0.074337,0.00025687,282.32,0.0035421,327.24,351.33,1.3207,1.1081,14.054,184.66,0.94319,22.373,0.054151
34.136,69.000,615.40,0.0016249,255.75,266.96,1.0450,1.0241,13.849,236.96,0.34975,46.184,0.076615,0.00018707,296.67,0.0033707,324.01,347.27,1.3064,1.1196,18.168,183.77,0.91228,22.940,0.059759
34.799,70.000,596.38,0.0016768,260.03,271.76,1.0601,1.0401,19.467,225.31,0.38537,44.264,0.080758,0.00012247,314.26,0.0031821,320.03,342.30,1.2892,1.1324,25.779,182.84,0.87508,23.658,0.062187
35.450,71.000,571.22,0.0017506,265.44,277.87,1.0794,1.0624,33.781,212.33,0.43214,41.854,0.089586,6.4276e-05,337.90,0.0029595,314.63,335.65,1.2666,1.1468,44.489,181.87,0.82650,24.666,0.065122
36.089,72.000,528.08,0.0018937,274.26,287.90,1.1112,1.1012,125.13,196.28,0.50750,38.028,0.098128,1.5401e-05,379.24,0.0026369,305.27,324.26,1.2288,1.1627,154.96,181.01,0.74678,26.572,0.070597
